,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2019-01-05,Ava Max,Sweet But Psycho,Ava Max,Sweet But Psycho Ava Max,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
1,2019-01-12,Ava Max,Sweet But Psycho,Ava Max,Sweet But Psycho Ava Max,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
2,2019-01-19,Ava Max,Sweet But Psycho,Ava Max,Sweet But Psycho Ava Max,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
3,2019-01-26,Ava Max,Sweet But Psycho,Ava Max,Sweet But Psycho Ava Max,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436.0,0.704,0.0,1.0,0.166,-4.724,1.0,0.0476,133.002,4.0,0.628
4,2019-02-02,Ariana Grande,7 Rings,Ariana Grande,7 Rings Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,178627.0,0.317,0.0,1.0,0.0881,-10.732,0.0,0.334,140.048,4.0,0.327
5,2019-02-09,Calvin Harris & Rag'n'Bone Man,Giant,Calvin Harris,Giant Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,0.016,0.807,229184.0,0.887,0.000503,1.0,0.0811,-4.311,0.0,0.0361,122.015,4.0,0.606
6,2019-02-16,Calvin Harris & Rag'n'Bone Man,Giant,Calvin Harris,Giant Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,0.016,0.807,229184.0,0.887,0.000503,1.0,0.0811,-4.311,0.0,0.0361,122.015,4.0,0.606
7,2019-02-23,Calvin Harris & Rag'n'Bone Man,Giant,Calvin Harris,Giant Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,0.016,0.807,229184.0,0.887,0.000503,1.0,0.0811,-4.311,0.0,0.0361,122.015,4.0,0.606
8,2019-03-02,Calvin Harris & Rag'n'Bone Man,Giant,Calvin Harris,Giant Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,0.016,0.807,229184.0,0.887,0.000503,1.0,0.0811,-4.311,0.0,0.0361,122.015,4.0,0.606
9,2019-03-09,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga,Shallow Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,0.323
10,2019-03-16,Calvin Harris & Rag'n'Bone Man,Giant,Calvin Harris,Giant Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,0.016,0.807,229184.0,0.887,0.000503,1.0,0.0811,-4.311,0.0,0.0361,122.015,4.0,0.606
11,2019-03-23,Calvin Harris & Rag'n'Bone Man,Giant,Calvin Harris,Giant Calvin Harris,5itOtNx0WxtJmi1TQ3RuRd,0.016,0.807,229184.0,0.887,0.000503,1.0,0.0811,-4.311,0.0,0.0361,122.015,4.0,0.606
